epoch,open,high,low,close
1781182200,1.15373,1.1539,1.15354,1.15378
1781182500,1.15377,1.15435,1.15358,1.15398
1781182800,1.15399,1.15406,1.15377,1.1538
1781183100,1.1538,1.15384,1.15314,1.15335
1781183400,1.15336,1.15336,1.15251,1.15256
1781183700,1.15256,1.15268,1.1521,1.15212
1781184000,1.15213,1.1527,1.15176,1.15266
1781184300,1.15264,1.15322,1.1526,1.15302
1781184600,1.15301,1.15344,1.15287,1.15328
1781184900,1.15328,1.15332,1.15266,1.1529
1781185200,1.1529,1.15344,1.15281,1.15321
1781185500,1.15322,1.15398,1.15306,1.15328
1781185800,1.15329,1.15356,1.15314,1.15316
1781186100,1.15315,1.15346,1.15294,1.15296
1781186400,1.15296,1.15306,1.15248,1.15254
1781186700,1.15254,1.15274,1.1523,1.15252
1781187000,1.15253,1.15257,1.15208,1.15232
1781187300,1.15232,1.15237,1.15206,1.1521
1781187600,1.1521,1.15246,1.1521,1.1522
1781187900,1.15221,1.15239,1.15214,1.15217
1781188200,1.15218,1.15222,1.15172,1.15175
1781188500,1.15174,1.15206,1.15153,1.15198
1781188800,1.15197,1.15204,1.15169,1.15176
1781189100,1.15176,1.15196,1.15172,1.15176
1781189400,1.15174,1.15184,1.15164,1.15164
1781189700,1.15164,1.15194,1.15148,1.15194
1781190000,1.15194,1.15202,1.15161,1.152
1781190300,1.152,1.15224,1.15154,1.15156
1781190600,1.15156,1.15188,1.15141,1.1517
1781190900,1.15171,1.15213,1.1517,1.15207
1781191200,1.15206,1.15234,1.15206,1.15228
1781191500,1.15228,1.15244,1.15222,1.15222
1781191800,1.15222,1.15232,1.15198,1.15208
1781192100,1.1521,1.15214,1.15174,1.15174
1781192400,1.15174,1.15222,1.15172,1.15193
1781192700,1.15194,1.152,1.15174,1.15185
1781193000,1.15186,1.15188,1.15145,1.15156
1781193300,1.15156,1.15164,1.1514,1.15145
1781193600,1.15146,1.1516,1.15112,1.15116
1781193900,1.15116,1.15126,1.15104,1.15104
1781194200,1.15103,1.15103,1.15081,1.15098
